,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Perce-Écailles,Scale Tearer,2,2,1.0,100%,28.0,28.0,56,3,9.33,9.33,7.0,7.0
Âme de Dragon Élémentaire,Elemental Dragon Soul,2,2,1.0,100%,25.0,25.0,50,1,25.0,25.0,12.5,12.5
Esprit de la Faille,Spirit of the Rift,2,2,1.0,100%,25.0,25.0,50,2,12.5,12.5,8.33,8.33
Masque du Baron,Baron' s Mask,2,2,1.0,100%,25.0,25.0,50,2,12.5,12.5,8.33,8.33
Écailles Magiques,Magic Scales,2,2,1.0,100%,25.0,25.0,50,2,12.5,12.5,8.33,8.33
Chasse au Gros,Big Worm Hunter,2,2,1.0,100%,22.5,22.5,45,3,7.5,7.5,5.62,5.62
Marteau Conquérant,Conquest Hammer,2,2,1.0,100%,22.0,22.0,44,3,7.33,7.33,5.5,5.5
Marteau Dévastateur,Destroyer Hammer,2,2,1.0,100%,22.0,22.0,44,2,11.0,11.0,7.33,7.33
Folie Meurtrière,Killer Momentum,2,2,1.0,100%,22.0,22.0,44,0,Gratuit,Gratuit,22.0,22.0
Poigne d'Or,Golden Force,2,2,1.0,100%,20.0,20.0,40,1,20.0,20.0,10.0,10.0
Sceau Profanateur,Seal of Desecration,2,2,1.0,100%,20.0,20.0,40,2,10.0,10.0,6.67,6.67
Gardien Sous-terrain,Underworld Guardian,2,2,1.0,100%,18.0,18.0,36,1,18.0,18.0,9.0,9.0
Protection Royale,Royal Protector,2,2,1.0,100%,17.0,17.0,34,1,17.0,17.0,8.5,8.5
L'Oeil du Héraut,Eye of the Void,2,2,1.0,100%,13.5,13.5,27,0,Gratuit,Gratuit,13.5,13.5
Frappes Éclair,Light Swords,2,2,1.0,100%,12.0,12.0,24,0,Gratuit,Gratuit,12.0,12.0
Première Ligne,First Line,2,2,1.0,100%,8.0,8.0,16,0,Gratuit,Gratuit,8.0,8.0
