,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,48,48,1.0,100%,14.020833333333334,14.020833333333334,673,3,4.673611111111112,4.673611111111112
Armure d'Obsidienne,25,48,0.5208333333333334,52%,20.0,10.416666666666666,500,2,5.208333333333333,10.0
Aveuglement,46,48,0.9583333333333334,96%,9.521739130434783,9.125,438,3,3.0416666666666665,3.173913043478261
Esprit de l'Écuyer,38,48,0.7916666666666666,79%,8.921052631578947,7.0625,339,3,2.3541666666666665,2.9736842105263155
Hache Frénétique,24,48,0.5,50%,14.0,7.0,336,2,3.5,7.0
Lame Affutée,36,48,0.75,75%,9.25,6.9375,333,3,2.3125,3.0833333333333335
Économe Sagesse du Trésorier,18,48,0.375,38%,17.0,6.375,306,2,3.1875,8.5
Explosion Arcanique,21,48,0.4375,44%,12.0,5.25,252,1,5.25,12.0
Ascension Divine,9,48,0.1875,19%,25.0,4.6875,225,3,1.5625,8.333333333333334
Totem du Gardien,48,48,1.0,100%,4.354166666666667,4.354166666666667,209,3,1.451388888888889,1.451388888888889
Sabre Versatile,18,48,0.375,38%,11.0,4.125,198,1,4.125,11.0
Armure d'Immortel,14,48,0.2916666666666667,29%,14.0,4.083333333333333,196,1,4.083333333333333,14.0
Esquive Salvatrice,12,48,0.25,25%,15.0,3.75,180,0,Gratuit,Gratuit
Le Marionnettiste,9,48,0.1875,19%,20.0,3.75,180,2,1.875,10.0
Parchemin Secret,9,48,0.1875,19%,18.0,3.375,162,2,1.6875,9.0
Aura Légendaire,4,48,0.08333333333333333,8%,40.0,3.3333333333333335,160,3,1.1111111111111112,13.333333333333334
Marteleur précis,8,48,0.16666666666666666,17%,18.0,3.0,144,1,3.0,18.0
Glaive Vindicatif,7,48,0.14583333333333334,15%,20.0,2.9166666666666665,140,1,2.9166666666666665,20.0
Le Croque-mort,10,48,0.20833333333333334,21%,14.0,2.9166666666666665,140,1,2.9166666666666665,14.0
Épée Obscure,9,48,0.1875,19%,15.0,2.8125,135,1,2.8125,15.0
Instinct Sanguinaire,9,48,0.1875,19%,15.0,2.8125,135,2,1.40625,7.5
Elan de Fureur,9,48,0.1875,19%,15.0,2.8125,135,2,1.40625,7.5
Tombeau Rocheux,13,48,0.2708333333333333,27%,10.0,2.7083333333333335,130,1,2.7083333333333335,10.0
Coup de Mort,13,48,0.2708333333333333,27%,10.0,2.7083333333333335,130,1,2.7083333333333335,10.0
Mental d'Acier,7,48,0.14583333333333334,15%,18.0,2.625,126,2,1.3125,9.0
Enchaînement Éclair,7,48,0.14583333333333334,15%,18.0,2.625,126,1,2.625,18.0
Lame Insatiable,7,48,0.14583333333333334,15%,16.0,2.3333333333333335,112,2,1.1666666666666667,8.0
Frappe Chirurgicale,7,48,0.14583333333333334,15%,16.0,2.3333333333333335,112,1,2.3333333333333335,16.0
Épées Jumelles,9,48,0.1875,19%,11.11111111111111,2.0833333333333335,100,1,2.0833333333333335,11.11111111111111
Faux Assoiffées,4,48,0.08333333333333333,8%,25.0,2.0833333333333335,100,3,0.6944444444444445,8.333333333333334
Couronne du Roi Nain,7,48,0.14583333333333334,15%,13.0,1.8958333333333333,91,0,Gratuit,Gratuit
Danse Macabre,11,48,0.22916666666666666,23%,8.0,1.8333333333333333,88,1,1.8333333333333333,8.0
Pillard Féroce,4,48,0.08333333333333333,8%,20.0,1.6666666666666667,80,1,1.6666666666666667,20.0
Assistance Divine,4,48,0.08333333333333333,8%,20.0,1.6666666666666667,80,2,0.8333333333333334,10.0
Masse Colossale,7,48,0.14583333333333334,15%,11.0,1.6041666666666667,77,0,Gratuit,Gratuit
Désintégrateur Magnétique,7,48,0.14583333333333334,15%,11.0,1.6041666666666667,77,0,Gratuit,Gratuit
Chasseur d'Âmes,5,48,0.10416666666666667,10%,15.0,1.5625,75,1,1.5625,15.0
Bâton de Conquête,3,48,0.0625,6%,24.0,1.5,72,2,0.75,12.0
Griffes Sauvages,33,48,0.6875,69%,2.0303030303030303,1.3958333333333333,67,3,0.46527777777777773,0.6767676767676768
Destruction Royale,6,48,0.125,12%,11.0,1.375,66,0,Gratuit,Gratuit
Esprit Guerrier,4,48,0.08333333333333333,8%,16.0,1.3333333333333333,64,1,1.3333333333333333,16.0
Lance Doublée,8,48,0.16666666666666666,17%,8.0,1.3333333333333333,64,0,Gratuit,Gratuit
Triple Météore,2,48,0.041666666666666664,4%,30.0,1.25,60,0,Gratuit,Gratuit
Œil de Lynx,7,48,0.14583333333333334,15%,8.0,1.1666666666666667,56,0,Gratuit,Gratuit
Esprit omniprésent,3,48,0.0625,6%,18.0,1.125,54,2,0.5625,9.0
Épé Sainte,5,48,0.10416666666666667,10%,10.0,1.0416666666666667,50,0,Gratuit,Gratuit
Soif de Sang,3,48,0.0625,6%,15.0,0.9375,45,0,Gratuit,Gratuit
Lance Triplée,2,48,0.041666666666666664,4%,20.0,0.8333333333333334,40,0,Gratuit,Gratuit
Chasseresse d'Âmes,2,48,0.041666666666666664,4%,19.0,0.7916666666666666,38,1,0.7916666666666666,19.0
Décharge Élémentaire,2,48,0.041666666666666664,4%,18.0,0.75,36,1,0.75,18.0
Griffes Démoniaques,2,48,0.041666666666666664,4%,17.0,0.7083333333333334,34,1,0.7083333333333334,17.0
Amulette Omnisciente,2,48,0.041666666666666664,4%,11.0,0.4583333333333333,22,0,Gratuit,Gratuit
Être de Lumière,1,48,0.020833333333333332,2%,18.0,0.375,18,1,0.375,18.0
Masse de Siège,1,48,0.020833333333333332,2%,16.0,0.3333333333333333,16,0,Gratuit,Gratuit
Adrénaline Arcanique,1,48,0.020833333333333332,2%,16.0,0.3333333333333333,16,1,0.3333333333333333,16.0
Bâton Élémentaire,1,48,0.020833333333333332,2%,15.0,0.3125,15,0,Gratuit,Gratuit
Force Divine,1,48,0.020833333333333332,2%,11.0,0.22916666666666666,11,0,Gratuit,Gratuit
Le Traqueur,0,48,0.0,0%,0,0.0,0,3,0.0,0.0
Brise-remparts,0,48,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Sceau Draconique Ancestral,0,48,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Sceau Profanateur,0,48,0.0,0%,0,0.0,0,2,0.0,0.0
Bouclier Efficient,0,48,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Esprit de la Faille,0,48,0.0,0%,0,0.0,0,2,0.0,0.0
Horloge Divine,0,48,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Poigne d'Or,0,48,0.0,0%,0,0.0,0,1,0.0,0.0
Esprit Sauvage,0,48,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Chasseur de Bêtes,0,48,0.0,0%,0,0.0,0,2,0.0,0.0
