,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Esprit de la Faille,Spirit of the Rift,3,3,1.0,100%,25.0,25.0,75,2,12.5,12.5,8.33,8.33
L'Oeil du Héraut,Eye of the Void,3,3,1.0,100%,12.0,12.0,36,0,Gratuit,Gratuit,12.0,12.0
Perce-Écailles,Scale Tearer,1,3,0.33,33%,28.0,9.33,28,3,9.33,3.11,7.0,2.33
Marteau Dévastateur,Destroyer Hammer,2,3,0.67,67%,13.0,8.67,26,2,6.5,4.33,4.33,2.89
Masque du Baron,Baron' s Mask,1,3,0.33,33%,25.0,8.33,25,2,12.5,4.17,8.33,2.78
Écailles Magiques,Magic Scales,1,3,0.33,33%,25.0,8.33,25,2,12.5,4.17,8.33,2.78
Âme de Dragon Élémentaire,Elemental Dragon Soul,1,3,0.33,33%,25.0,8.33,25,1,25.0,8.33,12.5,4.17
Sceau Profanateur,Seal of Desecration,1,3,0.33,33%,24.0,8.0,24,2,12.0,4.0,8.0,2.67
Folie Meurtrière,Killer Momentum,1,3,0.33,33%,22.0,7.33,22,0,Gratuit,Gratuit,22.0,7.33
Marteau Conquérant,Conquest Hammer,1,3,0.33,33%,22.0,7.33,22,3,7.33,2.44,5.5,1.83
Poigne d'Or,Golden Force,1,3,0.33,33%,20.0,6.67,20,1,20.0,6.67,10.0,3.33
Gardien Sous-terrain,Underworld Guardian,1,3,0.33,33%,18.0,6.0,18,1,18.0,6.0,9.0,3.0
Protection Royale,Royal Protector,1,3,0.33,33%,17.0,5.67,17,1,17.0,5.67,8.5,2.83
Chasse au Gros,Big Worm Hunter,1,3,0.33,33%,15.0,5.0,15,3,5.0,1.67,3.75,1.25
Frappes Éclair,Light Swords,1,3,0.33,33%,12.0,4.0,12,0,Gratuit,Gratuit,12.0,4.0
Première Ligne,First Line,1,3,0.33,33%,8.0,2.67,8,0,Gratuit,Gratuit,8.0,2.67
