,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,80,86,0.9302325581395349,93%,19.7625,18.38372093023256,1581,3,6.127906976744186,6.5874999999999995
Perce-Écailles,Scale Tearer,76,86,0.8837209302325582,88%,16.342105263157894,14.44186046511628,1242,3,4.813953488372094,5.447368421052631
Écailles Magiques,Magic Scales,43,86,0.5,50%,20.0,10.0,860,2,5.0,10.0
Esprit de la Faille,Spirit of the Rift,43,86,0.5,50%,20.0,10.0,860,2,5.0,10.0
Masque du Baron,Baron' s Mask,43,86,0.5,50%,20.0,10.0,860,2,5.0,10.0
Chasse au Gros,Big Worm Hunter,53,86,0.6162790697674418,62%,15.69811320754717,9.674418604651162,832,3,3.2248062015503876,5.232704402515723
Poigne d'Or,Golden Force,32,86,0.37209302325581395,37%,23.0,8.55813953488372,736,1,8.55813953488372,23.0
Protection Royale,Royal Protector,42,86,0.4883720930232558,49%,17.0,8.30232558139535,714,1,8.30232558139535,17.0
L'Oeil du Héraut,Eye of the Void,58,86,0.6744186046511628,67%,11.724137931034482,7.906976744186046,680,0,Gratuit,Gratuit
Sceau Profanateur,Seal of Desecration,44,86,0.5116279069767442,51%,15.272727272727273,7.813953488372093,672,2,3.9069767441860463,7.636363636363637
Marteau Conquérant,Conquest Hammer,35,86,0.4069767441860465,41%,18.0,7.325581395348837,630,1,7.325581395348837,18.0
Folie Meurtrière,Killer Momentum,20,86,0.23255813953488372,23%,30.0,6.976744186046512,600,0,Gratuit,Gratuit
Première Ligne,First Line,70,86,0.813953488372093,81%,8.0,6.511627906976744,560,0,Gratuit,Gratuit
Âme de Dragon Élémentaire,Elemental Dragon Soul,21,86,0.2441860465116279,24%,25.0,6.104651162790698,525,1,6.104651162790698,25.0
Gardien Sous-terrain,Underworld Guardian,33,86,0.38372093023255816,38%,15.0,5.755813953488372,495,1,5.755813953488372,15.0
Bouclier Efficient,Engineer Shield,6,86,0.06976744186046512,7%,60.0,4.186046511627907,360,0,Gratuit,Gratuit
Sceau Draconique Ancestral,Ancestral Dragon Seal,10,86,0.11627906976744186,12%,35.0,4.069767441860465,350,0,Gratuit,Gratuit
Frappes Éclair,Light Swords,27,86,0.313953488372093,31%,12.0,3.7674418604651163,324,0,Gratuit,Gratuit
Emblème Ancien,Ancient Emblem,8,86,0.09302325581395349,9%,40.0,3.7209302325581395,320,3,1.2403100775193798,13.333333333333334
Brise-remparts,Wall Breaker,7,86,0.08139534883720931,8%,30.0,2.441860465116279,210,0,Gratuit,Gratuit
Horloge Divine,Divine Compass,1,86,0.011627906976744186,1%,25.0,0.29069767441860467,25,0,Gratuit,Gratuit
