,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,86,86,1.0,100%,14.80232558139535,14.80232558139535,1273,3,4.934108527131783,4.934108527131783
Armure d'Obsidienne,45,86,0.5232558139534884,52%,20.0,10.465116279069768,900,2,5.232558139534884,10.0
Ascension Divine,31,86,0.36046511627906974,36%,25.0,9.011627906976743,775,3,3.0038759689922476,8.333333333333334
Économe Sagesse du Trésorier,42,86,0.4883720930232558,49%,17.0,8.30232558139535,714,2,4.151162790697675,8.5
Aveuglement,80,86,0.9302325581395349,93%,8.175,7.604651162790698,654,3,2.5348837209302326,2.725
Hache Frénétique,42,86,0.4883720930232558,49%,14.0,6.837209302325581,588,2,3.4186046511627906,7.0
Esprit de l'Écuyer,64,86,0.7441860465116279,74%,8.34375,6.209302325581396,534,3,2.0697674418604652,2.78125
Lame Affutée,66,86,0.7674418604651163,77%,8.090909090909092,6.209302325581396,534,3,2.0697674418604652,2.6969696969696972
Lame Insatiable,32,86,0.37209302325581395,37%,16.0,5.953488372093023,512,2,2.9767441860465116,8.0
Faux Assoiffées,17,86,0.19767441860465115,20%,25.0,4.941860465116279,425,3,1.6472868217054264,8.333333333333334
Explosion Arcanique,35,86,0.4069767441860465,41%,12.0,4.883720930232558,420,1,4.883720930232558,12.0
Totem du Gardien,86,86,1.0,100%,4.186046511627907,4.186046511627907,360,3,1.3953488372093024,1.3953488372093024
Chasseur d'Âmes,21,86,0.2441860465116279,24%,15.0,3.6627906976744184,315,1,3.6627906976744184,15.0
Marteleur précis,15,86,0.1744186046511628,17%,18.0,3.13953488372093,270,1,3.13953488372093,18.0
Parchemin Secret,15,86,0.1744186046511628,17%,18.0,3.13953488372093,270,2,1.569767441860465,9.0
Épée Obscure,17,86,0.19767441860465115,20%,15.0,2.9651162790697674,255,1,2.9651162790697674,15.0
Sabre Versatile,23,86,0.26744186046511625,27%,11.0,2.941860465116279,253,1,2.941860465116279,11.0
Mental d'Acier,14,86,0.16279069767441862,16%,18.0,2.9302325581395348,252,2,1.4651162790697674,9.0
Assistance Divine,12,86,0.13953488372093023,14%,20.0,2.7906976744186047,240,2,1.3953488372093024,10.0
Armure d'Immortel,15,86,0.1744186046511628,17%,14.0,2.441860465116279,210,1,2.441860465116279,14.0
Couronne du Roi Nain,15,86,0.1744186046511628,17%,13.0,2.2674418604651163,195,0,Gratuit,Gratuit
Chasseresse d'Âmes,10,86,0.11627906976744186,12%,19.0,2.2093023255813953,190,1,2.2093023255813953,19.0
Masse Colossale,17,86,0.19767441860465115,20%,11.0,2.1744186046511627,187,0,Gratuit,Gratuit
